SchYear,DistNumb,DistType,DistName,SchNum,SchCls,SchName,CountyNumber,CountyName,EcoDevRgn,TotFTE,Male,Female,IndianMale,IndianFemale,AsianMale,AsianFemale,HispanicMale,HispanicFemale,BlackMale,BlackFemale,WhiteMale,WhiteFemale,NewAdmin,AvgYrsExp,Exp1_5,Exp6_10,Exp11_15,Exp16_20,Exp21_25,Exp26_30,Exp31Plus,LessThanBA,BA,MA,PhD,EdUnkn,AvgAge,AgeLess25,Age25_29,Age30_34,Age35_44,Age45_54,Age55Plus
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,Aitkin                                            ,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,1,0,0,0,0,0,1,0,0,53,0,0,0,0,1,0
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,1,33,AITKIN SECONDARY SCHOOL                           ,1,Aitkin                                            ,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,45,0,0,0,0,1,0
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,2,10,RIPPLESIDE ELEMENTARY                             ,1,Aitkin                                            ,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,34,0,0,1,0,0,0
14-15,1,1,AITKIN PUBLIC SCHOOL DISTRICT                     ,0,0,Totals                                            ,1,Aitkin                                            ,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,12,0,2,0,1,0,0,0,0,2,1,0,0,44,0,0,1,0,2,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,0,0,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,27,Hennepin                                          ,11,9,3,6,0,0,0,0,0,1,0,2,3,3,0,7,2,2,2,1,0,0,0,0,1,6,1,1,53,0,0,0,2,3,4
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,21,50,SPECIAL EDUCATION                                 ,27,Hennepin                                          ,11,5,0,5,0,0,0,0,0,0,0,0,0,5,0,8,2,1,2,0,0,0,0,0,3,2,0,0,46,0,0,0,2,2,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,103,10,ARMATAGE ELEMENTARY                               ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,1,0,0,56,0,0,0,0,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,104,10,LAKE HARRIET LOWER ELEMENTARY                     ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,1,53,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,105,10,BANCROFT ELEMENTARY                               ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,0,0,2,0,19,0,1,0,0,0,1,0,0,0,2,0,0,48,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,106,10,BARTON OPEN ELEMENTARY                            ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,9,1,0,1,0,0,0,0,0,0,2,0,0,42,0,0,0,2,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,107,10,BETHUNE ELEMENTARY                                ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,1,0,1,0,12,0,0,2,0,0,0,0,0,0,1,0,1,61,0,0,0,0,0,2
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,110,10,BURROUGHS ELEMENTARY                              ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,19,0,0,0,1,1,0,0,0,0,0,1,1,57,0,0,0,0,0,2
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,119,20,FIELD ELEMENTARY                                  ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,42,0,1,0,0,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,121,10,LAKE HARRIET UPPER SCHOOL                         ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,9,0,2,0,0,0,0,0,0,1,1,0,0,46,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,123,10,HALE ELEMENTARY                                   ,27,Hennepin                                          ,11,2,1,1,0,0,0,1,0,0,0,0,1,0,0,12,1,0,0,0,1,0,0,0,0,2,0,0,50,0,0,0,1,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,130,10,HIAWATHA ELEMENTARY                               ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,1,0,0,0,0,0,0,1,52,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,132,10,HOWE ELEMENTARY                                   ,27,Hennepin                                          ,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,0,0,0,0,0,0,0,1,0,0,39,0,0,0,1,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,134,10,LK NOKOMIS COMM-KEEWAYDIN CAMPUS                  ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,1,0,0,48,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,135,10,KENNY ELEMENTARY                                  ,27,Hennepin                                          ,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,1,0,0,0,0,0,0,0,0,1,47,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,136,10,KENWOOD ELEMENTARY                                ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,1,55,0,0,0,0,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,140,10,LORING ELEMENTARY                                 ,27,Hennepin                                          ,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,1,0,0,0,0,0,0,1,0,0,36,0,0,0,1,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,144,10,LYNDALE ELEMENTARY                                ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,1,0,0,1,0,0,0,13,0,0,1,1,0,0,0,0,0,2,0,0,53,0,0,0,1,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,151,10,JENNY LIND ELEMENTARY                             ,27,Hennepin                                          ,11,2,1,1,0,0,1,0,0,0,0,0,0,1,0,10,1,0,0,1,0,0,0,0,0,1,0,1,48,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,152,10,NORTHROP ELEMENTARY                               ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,0,0,0,0,1,0,0,41,0,0,0,1,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,155,10,PILLSBURY ELEMENTARY                              ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,1,1,0,0,13,0,1,0,1,0,0,0,0,1,1,0,0,42,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,156,10,PRATT ELEMENTARY                                  ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,0,1,0,0,46,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,160,10,SEWARD ELEMENTARY                                 ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,1,0,1,0,12,0,1,0,1,0,0,0,0,0,2,0,0,53,0,0,0,0,1,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,161,10,SHERIDAN ELEMENTARY                               ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,5,1,1,0,0,0,0,0,0,0,1,0,1,53,0,0,0,0,1,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,165,10,WAITE PARK ELEMENTARY                             ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,65,0,0,0,0,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,167,10,LK NOKOMIS COMM-WENONAH CAMPUS                    ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,1,0,0,0,0,0,1,0,0,48,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,170,10,WINDOM SCHOOL                                     ,27,Hennepin                                          ,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,1,0,0,0,0,0,1,0,0,52,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,175,10,FOLWELL ARTS MAGNET                               ,27,Hennepin                                          ,11,3,2,1,0,0,0,0,1,0,1,0,0,1,0,8,0,0,2,0,0,0,0,0,0,1,2,0,44,0,0,1,0,2,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,179,10,JEFFERSON ELEMENTARY                              ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,1,0,0,1,0,9,0,1,1,0,0,0,0,0,0,2,0,0,40,0,0,0,2,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,180,10,DOWLING ELEMENTARY                                ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,1,0,0,1,0,12,0,0,2,0,0,0,0,0,0,1,0,1,44,0,0,0,2,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,190,10,ANDERSEN COMMUNITY                                ,27,Hennepin                                          ,11,5,2,3,0,1,0,0,0,0,0,0,2,2,0,8,0,2,2,0,0,0,0,0,1,3,1,0,43,0,0,2,1,0,2
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,193,10,SULLIVAN ELEMENTARY                               ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,0,0,2,0,9,0,1,1,0,0,0,0,0,1,1,0,0,37,0,0,0,2,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,225,10,ANISHINABE ACADEMY                                ,27,Hennepin                                          ,11,2,0,2,0,2,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,2,0,0,42,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,226,10,MARCY OPEN ELEMENTARY                             ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,1,0,0,0,1,0,13,0,1,0,1,0,0,0,0,0,2,0,0,54,0,0,0,0,1,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,249,10,BRYN MAWR ELEMENTARY                              ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,0,0,2,0,9,1,0,1,0,0,0,0,0,1,1,0,0,51,0,0,0,0,2,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,256,10,GREEN CENTRAL PARK ELEMENTARY                     ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,38,0,1,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,260,10,EMERSON ELEMENTARY                                ,27,Hennepin                                          ,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,1,0,0,0,0,0,0,1,0,0,49,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,282,10,LUCY LANEY @ CLEVELAND PARK ELEM.                 ,27,Hennepin                                          ,11,3,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,36,0,0,1,2,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,287,10,HALL INTERNATIONAL                                ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,0,1,1,0,0,44,0,1,0,0,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,288,10,NELLIE STONE JOHNSON ELEMENTARY                   ,27,Hennepin                                          ,11,3,1,2,0,0,0,0,0,0,1,0,0,2,0,5,1,0,0,1,0,0,0,0,1,2,0,0,46,0,0,0,1,2,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,289,10,WHITTIER INTERNATIONAL                            ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,1,0,0,1,0,0,0,13,0,0,2,0,0,0,0,0,1,0,0,1,44,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,291,10,HMONG INTERNATIONAL ACADEMY                       ,27,Hennepin                                          ,11,2,1,1,0,0,1,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,1,1,0,46,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,293,10,CITYVIEW COMMUNITY                                ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,1,0,1,0,0,0,7,0,2,0,0,0,0,0,0,0,1,0,1,41,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,300,20,ANTHONY MIDDLE SCHOOL                             ,27,Hennepin                                          ,11,2,0,2,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,0,46,0,0,1,0,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,309,20,ANWATIN MIDDLE COM & SPANISH D I                  ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,1,0,1,0,17,0,0,1,0,1,0,0,0,0,2,0,0,51,0,0,0,0,1,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,316,20,NORTHEAST MIDDLE                                  ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,1,0,1,51,0,0,0,0,1,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,318,20,OLSON MIDDLE                                      ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,13,1,0,0,0,1,0,0,0,0,1,1,0,54,0,0,0,0,1,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,323,20,RAMSEY MIDDLE                                     ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,1,0,0,0,0,1,1,0,0,37,0,0,0,2,0,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,324,20,SANFORD MIDDLE                                    ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,1,0,0,1,0,9,0,1,1,0,0,0,0,0,0,1,1,0,46,0,0,0,0,2,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,351,43,URBAN LEAGUE ACADEMY HIGH                         ,27,Hennepin                                          ,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,61,0,0,0,0,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,352,32,EDISON SENIOR HIGH                                ,27,Hennepin                                          ,11,2,0,2,0,0,0,0,0,0,0,0,0,2,0,9,0,2,0,0,0,0,0,0,0,2,0,0,44,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,353,41,BROADWAY ARTS & TECHNOLOGY                        ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,0,0,0,0,0,1,0,57,0,0,0,0,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,354,32,HENRY SENIOR HIGH                                 ,27,Hennepin                                          ,11,3,0,3,0,0,0,0,0,0,0,1,0,2,0,5,1,0,1,0,0,0,0,0,0,0,1,2,48,0,0,0,2,0,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,360,32,ROOSEVELT SENIOR HIGH                             ,27,Hennepin                                          ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,11,1,0,0,1,0,0,0,0,1,1,0,0,43,0,0,0,1,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,362,32,SOUTH SENIOR HIGH                                 ,27,Hennepin                                          ,11,4,2,2,0,0,0,0,1,0,0,1,1,1,0,8,1,2,1,0,0,0,0,0,0,3,0,1,57,0,0,0,1,1,2
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,364,32,SOUTHWEST SENIOR HIGH                             ,27,Hennepin                                          ,11,4,2,2,0,0,0,0,0,0,0,1,2,1,0,8,1,2,1,0,0,0,0,0,0,3,1,0,55,0,0,0,1,0,3
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,368,32,WASHBURN SENIOR HIGH                              ,27,Hennepin                                          ,11,3,1,2,0,0,1,0,0,0,0,1,0,1,0,13,0,2,0,0,1,0,0,0,1,2,0,0,59,0,0,0,0,1,2
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,375,32,NORTH ACADEMY ARTS/COMMUNICATION                  ,27,Hennepin                                          ,11,2.83,1,1.83,0,0,0,0,0,0,0,1,1,0.83,0,13,0,1,0.83,1,0,0,0,0,0.83,1,1,0,54,0,0,0,0,1.83,1
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,380,50,TRANSITION PLUS SERVICES                          ,27,Hennepin                                          ,11,1,0,1,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,1,0,0,0,0,0,1,0,0,49,0,0,0,0,1,0
14-15,1,3,MINNEAPOLIS PUBLIC SCHOOL DIST.                   ,0,0,Totals                                            ,27,Hennepin                                          ,11,123.83,39,84.83,0,3,3,3,4,4,7,19,25,55.83,1,9,17,34,32.83,15,6,2,0,0,18.83,75,12,17,48,0,3,5,37,42.83,36
14-15,2,1,HILL CITY PUBLIC SCHOOL DISTRICT                  ,0,0,HILL CITY PUBLIC SCHOOL DISTRICT                  ,1,Aitkin                                            ,3,1.25,0.5,0.75,0,0.67,0,0,0,0,0,0,0.5,0.08,0,14,0,0,0.58,0.67,0,0,0,0,0,1.17,0,0,42,0,0,0,0.75,0.5,0
14-15,2,1,HILL CITY PUBLIC SCHOOL DISTRICT                  ,1,10,HILL CITY ELEMENTARY                              ,1,Aitkin                                            ,3,0.17,0.17,0,0,0,0,0,0,0,0,0,0.17,0,0,12,0,0,0.17,0,0,0,0,0,0,0.17,0,0,47,0,0,0,0,0.17,0
14-15,2,1,HILL CITY PUBLIC SCHOOL DISTRICT                  ,2,20,HILL CITY MIDDLE SCHOOL                           ,1,Aitkin                                            ,3,0.17,0.17,0,0,0,0,0,0,0,0,0,0.17,0,0,12,0,0,0.17,0,0,0,0,0,0,0.17,0,0,47,0,0,0,0,0.17,0
14-15,2,1,HILL CITY PUBLIC SCHOOL DISTRICT                  ,3,32,HILL CITY SENIOR HIGH                             ,1,Aitkin                                            ,3,0.17,0.17,0,0,0,0,0,0,0,0,0,0.17,0,0,12,0,0,0.17,0,0,0,0,0,0,0.17,0,0,47,0,0,0,0,0.17,0
14-15,2,1,HILL CITY PUBLIC SCHOOL DISTRICT                  ,0,0,Totals                                            ,1,Aitkin                                            ,3,1.76,1.01,0.75,0,0.67,0,0,0,0,0,0,1.01,0.08,0,13,0,0,1.09,0.67,0,0,0,0,0,1.68,0,0,44,0,0,0,0.75,1.01,0
14-15,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT                   ,0,0,MCGREGOR PUBLIC SCHOOL DISTRICT                   ,1,Aitkin                                            ,3,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0.08,0,18,0,0,0,0.08,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0.08
14-15,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT                   ,40,33,MCGREGOR SECONDARY                                ,1,Aitkin                                            ,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,12,0,1,0,1,0,0,0,0,0,2,0,0,47,0,0,0,0,2,0
14-15,4,1,MCGREGOR PUBLIC SCHOOL DISTRICT                   ,0,0,Totals                                            ,1,Aitkin                                            ,3,2.08,2,0.08,0,0,0,0,0,0,0,0,2,0.08,0,15,0,1,0,1.08,0,0,0,0,0,2,0,0,53,0,0,0,0,2,0.08
14-15,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.                ,0,0,SOUTH ST. PAUL PUBLIC SCHOOL DIST.                ,19,Dakota                                            ,11,4,1,3,0,0,0,0,0,0,0,0,1,3,0,8,1,1,2,0,0,0,0,0,0,3,1,0,49,0,0,0,0,4,0
14-15,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.                ,120,33,SOUTH ST. PAUL SECONDARY                          ,19,Dakota                                            ,11,5,2,3,0,0,0,0,0,0,0,0,2,3,0,5,0,0,2,0,0,0,0,0,0,5,0,0,44,0,0,0,4,0,1
14-15,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.                ,303,41,S ST. PAUL COMMUNITY LRNG. CNTR.                  ,19,Dakota                                            ,11,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,28,0,0,0,0,0,0.5,0,0,0,0.5,0,0,55,0,0,0,0,0,0.5
14-15,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.                ,735,10,LINCOLN CENTER ELEMENTARY                         ,19,Dakota                                            ,11,2,1,1,0,0,0,0,0,0,0,0,1,1,0,9,0,1,1,0,0,0,0,0,0,1,0,1,38,0,0,1,1,0,0
14-15,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.                ,737,10,KAPOSIA EDUCATION CENTER ELEMENTARY               ,19,Dakota                                            ,11,2,2,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,2,0,0,0,0,0,0,1,0,1,39,0,0,0,2,0,0
14-15,6,3,SOUTH ST. PAUL PUBLIC SCHOOL DIST.                ,0,0,Totals                                            ,19,Dakota                                            ,11,13.5,6.5,7,0,0,0,0,0,0,0,0,6.5,7,0,9,1,2,7,0,0,0.5,0,0,0,10.5,1,2,45,0,0,1,7,4,1.5
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,0,0,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,2,Anoka                                             ,11,14,5,9,0,0,0,0,0,0,0,0,5,9,0,10,1,5,0,2,2,1,0,0,1,8,4,1,54,0,0,0,1,6,7
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,1,32,ANOKA HIGH SCHOOL                                 ,2,Anoka                                             ,11,4.98,1.66,3.32,0,0,0,0,0,0,0,0,1.66,3.32,0,11,0,2.49,1.66,0.83,0,0,0,0,0,4.15,0,0.83,43,0,0,0,1.66,3.32,0
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,2,32,COON RAPIDS HIGH SCHOOL                           ,2,Anoka                                             ,11,4.98,1.66,3.32,0,0,0,0,0,0,0,0,1.66,3.32,0,10,0.83,2.49,0.83,0,0.83,0,0,0,0,3.32,0.83,0.83,43,0,0,0.83,3.32,0,0.83
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,3,20,ANOKA MIDDLE SCHOOL FOR THE ARTS                  ,2,Anoka                                             ,11,4.98,2.49,2.49,0,0,0,0.83,0.83,0,0,0.83,1.66,0.83,0,6,0,4.15,0,0,0,0,0,0,0.83,4.15,0,0,41,0,0,0,3.32,1.66,0
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,4,20,COON RAPIDS MIDDLE SCHOOL                         ,2,Anoka                                             ,11,3.32,2.49,0.83,0,0,0,0,0,0,0,0.83,2.49,0,0,4,0,1.66,0,0,0,0,0,0,0,2.49,0,0.83,39,0,0,0,2.49,0.83,0
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,6,20,JACKSON MIDDLE                                    ,2,Anoka                                             ,11,4.15,2.49,1.66,0,0,0,0,0,0,0,0,2.49,1.66,0,7,0,4.15,0,0,0,0,0,0,0,4.15,0,0,42,0,0,0,2.49,1.66,0
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,90,20,NORTHDALE MIDDLE                                  ,2,Anoka                                             ,11,4.15,1.66,2.49,0,0,0,0,0,0,0,0,1.66,2.49,0,13,0,0.83,1.66,1.66,0,0,0,0,0,3.32,0,0.83,49,0,0,0,0.83,1.66,1.66
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,91,32,BLAINE HIGH SCHOOL                                ,2,Anoka                                             ,11,4.98,3.32,1.66,0,0,0,0,0,0,0,0,3.32,1.66,0,12,1.66,0.83,0,0.83,0,0,0.83,0,0,4.98,0,0,45,0,0,0.83,1.66,1.66,0.83
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,94,32,ANDOVER HIGH SCHOOL                               ,2,Anoka                                             ,11,3.32,2.49,0.83,0,0,0,0,0,0,0,0,2.49,0.83,0,6,0.83,0.83,0.83,0,0,0,0,0,0,2.49,0,0.83,44,0,0,0,1.66,1.66,0
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,110,41,CROSSROADS ALTN HIGH SCHOOL                       ,2,Anoka                                             ,11,2.49,0,2.49,0,0,0,0,0,0,0,0,0,2.49,0,14,0,0,1.66,0.83,0,0,0,0,0,1.66,0,0.83,47,0,0,0,0.83,1.66,0
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,192,32,CHAMPLIN PARK HIGH SCHOOL                         ,2,Anoka                                             ,11,5.81,4.98,0.83,0,0,0,0,0.83,0,0,0,4.15,0.83,0,7,1.66,3.32,0.83,0,0,0,0,0,0,4.15,0,1.66,43,0,0,0.83,2.49,1.66,0.83
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,193,20,OAK VIEW MIDDLE                                   ,2,Anoka                                             ,11,3.32,1.66,1.66,0,0,0,0,0,0,0,0,1.66,1.66,0,10,0.83,0.83,0.83,0.83,0,0,0,0,0,3.32,0,0,47,0,0,0,0.83,1.66,0.83
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,195,20,ROOSEVELT MIDDLE                                  ,2,Anoka                                             ,11,3.32,1.66,1.66,0,0,0,0,0,0,0,0,1.66,1.66,0,7,0,2.49,0.83,0,0,0,0,0,0,3.32,0,0,43,0,0,0,2.49,0.83,0
14-15,11,1,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.                ,198,60,SECONDARY TECHNICAL ED PROG S.T.E.P               ,2,Anoka                                             ,11,1.66,0.83,0.83,0,0,0,0,0,0,0,0,0.83,0.83,0,7,0,1.66,0,0,0,0,0,0,0,0.83,0,0.83,38,0,0,0,1.66,0,0
